
Year,Month,tmax,tmin,ppt
1958,1,5.89798,-6.3152,22.87821
1958,2,9.17997,-1.83897,42.90582
1958,3,7.13841,-5.1964,28.72127
1958,4,13.36199,-1.94881,26.05313
1958,5,23.89599,4.19911,14.07921
1958,6,23.86241,6.8416,56.24844
1958,7,30.44671,10.23605,15.75946
1958,8,32.74547,12.36622,22.98242
1958,9,26.71759,5.76613,6.42157
1958,10,22.47031,1.45759,4.74666
1958,11,12.81121,-3.61237,17.87917
1958,12,11.04134,-4.45315,14.1322
1959,1,7.96461,-4.58589,18.28555
1959,2,6.0748,-6.51681,25.6599
1959,3,12.84699,-4.75876,4.45095
1959,4,18.67188,-1.2007,2.98038
1959,5,17.86341,0.71262,21.92565
1959,6,27.85233,7.11744,6.95551
1959,7,33.7578,11.83136,4.75443
1959,8,31.22532,9.56721,10.3237
1959,9,23.828,5.95016,21.78025
1959,10,20.91576,1.74826,3.10959
1959,11,14.72805,-6.00095,0.30013
1959,12,6.51649,-10.37948,12.05299
1960,1,2.58556,-9.28596,23.36962
1960,2,5.30188,-6.14533,38.63503
1960,3,12.81814,-2.80114,23.43247
1960,4,15.53833,-1.92017,11.19566
1960,5,18.92043,1.26876,21.19306
1960,6,28.57209,7.32089,1.92257
1960,7,33.65091,11.64387,16.44067
1960,8,30.99272,8.5882,3.94826
1960,9,28.78409,6.27656,7.93832
1960,10,19.82663,0.6465,4.27057
1960,11,9.95842,-2.61566,58.89809
1960,12,7.05507,-7.60765,16.0013
1961,1,9.02744,-8.47332,6.79592
1961,2,8.82082,-4.17574,20.53498
1961,3,10.1369,-3.6671,23.84952
1961,4,15.74641,-2.34033,6.24518
1961,5,19.14956,1.77542,24.51862
1961,6,29.11568,8.44795,13.03299
1961,7,32.94005,10.66354,9.21428
1961,8,32.01425,12.11202,31.62912
1961,9,23.68938,4.474,15.55525
1961,10,18.84016,1.03464,16.08867
1961,11,10.28168,-5.62503,23.3043
1961,12,5.25451,-6.92972,27.06706
1962,1,2.85667,-12.63242,21.49601
1962,2,3.44944,-6.72981,63.00933
1962,3,7.62708,-4.83797,27.51688
1962,4,18.55314,-0.42654,6.02799
1962,5,17.34655,2.42533,33.97118
1962,6,25.79874,5.83599,8.01311
1962,7,30.75752,9.48064,4.59701
1962,8,30.19384,8.80372,6.81836
1962,9,28.20297,6.78878,3.40477
1962,10,19.89596,1.90918,28.37786
1962,11,13.02719,-2.84036,18.64466
1962,12,8.62014,-6.57417,13.83134
1963,1,5.8804,-12.07524,29.61615
1963,2,12.08132,-1.64112,28.08281
1963,3,9.81488,-4.7448,17.05122
1963,4,10.44443,-3.03767,43.80122
1963,5,20.44776,4.71594,47.18672
1963,6,21.84352,5.46126,54.90564
1963,7,29.76863,8.30973,1.5122
1963,8,31.02447,9.09065,7.57305
1963,9,27.96413,8.60152,14.28368
1963,10,20.9333,3.58188,15.74987
1963,11,11.31215,-2.43671,40.59978
1963,12,7.12599,-6.53437,17.64167
1964,1,4.51192,-7.88839,27.70126
1964,2,6.78463,-8.94587,2.41241
